,Alameda County, California, Precipitation,Kings County, California, Precipitation,Placer County, California, Precipitation,Sierra County, California, Precipitation,Alpine County, California, Precipitation,Lake County, California, Precipitation,Plumas County, California, Precipitation,Siskiyou County, California, Precipitation,Amador County, California, Precipitation,Lassen County, California, Precipitation,Riverside County, California, Precipitation,Solano County, California, Precipitation,Butte County, California, Precipitation,Los Angeles County, California, Precipitation,Sacramento County, California, Precipitation,Sonoma County, California, Precipitation,Calaveras County, California, Precipitation,Madera County, California, Precipitation,San Benito County, California, Precipitation,Stanislaus County, California, Precipitation,Colusa County, California, Precipitation,Marin County, California, Precipitation,San Bernardino County, California, Precipitation,Sutter County, California, Precipitation,Contra Costa County, California, Precipitation,Mariposa County, California, Precipitation,San Diego County, California, Precipitation,Tehama County, California, Precipitation,Del Norte County, California, Precipitation,Mendocino County, California, Precipitation,San Francisco County, California, Precipitation,Trinity County, California, Precipitation,El Dorado County, California, Precipitation,Merced County, California, Precipitation,San Joaquin County, California, Precipitation,Tulare County, California, Precipitation,Fresno County, California, Precipitation,Modoc County, California, Precipitation,San Luis Obispo County, California, Precipitation,Tuolumne County, California, Precipitation,Glenn County, California, Precipitation,Mono County, California, Precipitation,San Mateo County, California, Precipitation,Ventura County, California, Precipitation,Humboldt County, California, Precipitation,Monterey County, California, Precipitation,Santa Barbara County, California, Precipitation,Yolo County, California, Precipitation,Imperial County, California, Precipitation,Napa County, California, Precipitation,Santa Clara County, California, Precipitation,Yuba County, California, Precipitation
29,200203,2.51,,200203,0.76,,200203,7.06,,200203,5.63,,200203,4.81,,200203,2.86,,200203,4.23,,200203,2.39,,200203,5.59,,200203,1.61,,200203,0.25,,200203,2.05,,200203,4.79,,200203,0.44,,200203,2.80,,200203,3.59,,200203,5.38,,200203,2.56,,200203,1.63,,200203,1.69,,200203,1.58,,200203,3.35,,200203,0.17,,200203,2.72,,200203,2.35,,200203,3.41,,200203,0.94,,200203,2.85,,200203,7.08,,200203,3.99,,200203,2.61,,200203,3.31,,200203,6.73,,200203,1.21,,200203,2.06,,200203,2.32,,200203,2.09,,200203,1.38,,200203,1.27,,200203,5.27,,200203,1.25,,200203,1.26,,200203,3.29,,200203,0.40,,200203,5.66,,200203,1.67,,200203,0.64,,200203,2.12,,200203,0.02,,200203,2.79,,200203,2.84,,200203,5.56,
30,200204,0.28,,200204,0.14,,200204,2.19,,200204,2.24,,200204,1.94,,200204,0.75,,200204,1.97,,200204,2.87,,200204,1.45,,200204,1.80,,200204,0.30,,200204,0.16,,200204,1.43,,200204,0.12,,200204,0.28,,200204,0.64,,200204,1.38,,200204,1.03,,200204,0.62,,200204,0.18,,200204,0.21,,200204,0.55,,200204,0.09,,200204,0.20,,200204,0.21,,200204,1.38,,200204,0.47,,200204,1.51,,200204,4.16,,200204,1.25,,200204,0.43,,200204,2.14,,200204,2.01,,200204,0.18,,200204,0.18,,200204,0.70,,200204,0.87,,200204,1.85,,200204,0.54,,200204,2.10,,200204,0.32,,200204,0.88,,200204,0.55,,200204,0.13,,200204,2.78,,200204,0.55,,200204,0.32,,200204,0.17,,200204,0.01,,200204,0.35,,200204,0.53,,200204,1.04,
31,200205,0.85,,200205,0.08,,200205,1.79,,200205,1.40,,200205,0.95,,200205,1.10,,200205,1.16,,200205,1.08,,200205,1.78,,200205,0.43,,200205,0.01,,200205,0.90,,200205,1.80,,200205,0.13,,200205,1.43,,200205,1.03,,200205,1.62,,200205,1.07,,200205,0.48,,200205,0.31,,200205,0.95,,200205,1.00,,200205,0.01,,200205,1.27,,200205,0.81,,200205,1.45,,200205,0.02,,200205,1.05,,200205,1.54,,200205,1.08,,200205,0.89,,200205,1.44,,200205,1.82,,200205,0.45,,200205,0.55,,200205,0.67,,200205,0.76,,200205,0.44,,200205,0.21,,200205,1.72,,200205,0.87,,200205,0.26,,200205,0.90,,200205,0.14,,200205,1.17,,200205,0.44,,200205,0.14,,200205,1.04,,200205,0.00,,200205,1.20,,200205,1.03,,200205,1.79,
32,200206,0.00,,200206,0.06,,200206,0.01,,200206,0.07,,200206,0.07,,200206,0.00,,200206,0.14,,200206,0.45,,200206,0.01,,200206,0.15,,200206,0.00,,200206,0.00,,200206,0.00,,200206,0.01,,200206,0.00,,200206,0.00,,200206,0.01,,200206,0.13,,200206,0.00,,200206,0.00,,200206,0.00,,200206,0.01,,200206,0.00,,200206,0.00,,200206,0.00,,200206,0.07,,200206,0.00,,200206,0.02,,200206,0.75,,200206,0.00,,200206,0.02,,200206,0.09,,200206,0.01,,200206,0.01,,200206,0.00,,200206,0.16,,200206,0.05,,200206,0.26,,200206,0.00,,200206,0.10,,200206,0.00,,200206,0.09,,200206,0.05,,200206,0.01,,200206,0.18,,200206,0.01,,200206,0.00,,200206,0.00,,200206,0.00,,200206,0.00,,200206,0.01,,200206,0.00,
33,200207,0.00,,200207,0.00,,200207,0.07,,200207,0.11,,200207,0.33,,200207,0.00,,200207,0.09,,200207,0.12,,200207,0.03,,200207,0.09,,200207,0.01,,200207,0.00,,200207,0.02,,200207,0.01,,200207,0.00,,200207,0.00,,200207,0.01,,200207,0.06,,200207,0.00,,200207,0.00,,200207,0.00,,200207,0.00,,200207,0.18,,200207,0.00,,200207,0.00,,200207,0.02,,200207,0.03,,200207,0.02,,200207,0.01,,200207,0.00,,200207,0.00,,200207,0.12,,200207,0.15,,200207,0.00,,200207,0.00,,200207,0.01,,200207,0.04,,200207,0.09,,200207,0.00,,200207,0.10,,200207,0.01,,200207,0.38,,200207,0.01,,200207,0.00,,200207,0.04,,200207,0.00,,200207,0.00,,200207,0.00,,200207,0.00,,200207,0.00,,200207,0.00,,200207,0.00,
34,200208,0.01,,200208,0.00,,200208,0.03,,200208,0.03,,200208,0.06,,200208,0.00,,200208,0.01,,200208,0.01,,200208,0.01,,200208,0.01,,200208,0.00,,200208,0.00,,200208,0.00,,200208,0.00,,200208,0.00,,200208,0.01,,200208,0.00,,200208,0.01,,200208,0.00,,200208,0.00,,200208,0.00,,200208,0.01,,200208,0.00,,200208,0.00,,200208,0.00,,200208,0.00,,200208,0.00,,200208,0.00,,200208,0.01,,200208,0.00,,200208,0.02,,200208,0.01,,200208,0.02,,200208,0.00,,200208,0.00,,200208,0.00,,200208,0.01,,200208,0.01,,200208,0.00,,200208,0.02,,200208,0.00,,200208,0.09,,200208,0.02,,200208,0.00,,200208,0.01,,200208,0.01,,200208,0.00,,200208,0.00,,200208,0.00,,200208,0.00,,200208,0.02,,200208,0.00,
35,200209,0.00,,200209,0.00,,200209,0.05,,200209,0.04,,200209,0.30,,200209,0.00,,200209,0.01,,200209,0.18,,200209,0.05,,200209,0.02,,200209,0.32,,200209,0.00,,200209,0.00,,200209,0.05,,200209,0.00,,200209,0.00,,200209,0.03,,200209,0.22,,200209,0.00,,200209,0.00,,200209,0.00,,200209,0.00,,200209,0.16,,200209,0.00,,200209,0.00,,200209,0.28,,200209,0.43,,200209,0.00,,200209,0.36,,200209,0.01,,200209,0.01,,200209,0.05,,200209,0.05,,200209,0.01,,200209,0.00,,200209,0.02,,200209,0.09,,200209,0.07,,200209,0.03,,200209,0.35,,200209,0.01,,200209,0.37,,200209,0.01,,200209,0.06,,200209,0.09,,200209,0.01,,200209,0.07,,200209,0.00,,200209,0.37,,200209,0.00,,200209,0.01,,200209,0.00,
36,200210,0.01,,200210,0.01,,200210,0.05,,200210,0.05,,200210,0.21,,200210,0.00,,200210,0.06,,200210,0.05,,200210,0.04,,200210,0.07,,200210,0.04,,200210,0.00,,200210,0.00,,200210,0.02,,200210,0.00,,200210,0.03,,200210,0.03,,200210,0.07,,200210,0.00,,200210,0.00,,200210,0.00,,200210,0.03,,200210,0.17,,200210,0.00,,200210,0.01,,200210,0.11,,200210,0.04,,200210,0.00,,200210,0.04,,200210,0.01,,200210,0.03,,200210,0.01,,200210,0.06,,200210,0.00,,200210,0.00,,200210,0.08,,200210,0.10,,200210,0.14,,200210,0.01,,200210,0.17,,200210,0.00,,200210,0.16,,200210,0.04,,200210,0.01,,200210,0.05,,200210,0.01,,200210,0.01,,200210,0.00,,200210,0.01,,200210,0.01,,200210,0.01,,200210,0.00,
37,200211,2.78,,200211,0.99,,200211,6.48,,200211,7.51,,200211,5.74,,200211,5.37,,200211,6.58,,200211,5.04,,200211,4.42,,200211,2.88,,200211,0.71,,200211,3.05,,200211,4.73,,200211,1.93,,200211,2.39,,200211,4.40,,200211,4.76,,200211,4.50,,200211,3.09,,200211,2.39,,200211,2.76,,200211,3.69,,200211,0.72,,200211,2.19,,200211,2.60,,200211,6.31,,200211,1.51,,200211,4.33,,200211,7.37,,200211,6.30,,200211,2.93,,200211,7.58,,200211,5.86,,200211,1.89,,200211,2.16,,200211,5.73,,200211,4.35,,200211,1.96,,200211,3.18,,200211,6.92,,200211,2.70,,200211,3.40,,200211,3.59,,200211,4.46,,200211,6.13,,200211,3.67,,200211,3.78,,200211,2.85,,200211,0.14,,200211,3.86,,200211,3.80,,200211,4.26,
38,200212,9.31,,200212,1.57,,200212,14.32,,200212,16.35,,200212,10.54,,200212,25.78,,200212,16.89,,200212,17.16,,200212,10.55,,200212,4.94,,200212,1.03,,200212,10.66,,200212,19.96,,200212,2.67,,200212,6.45,,200212,21.36,,200212,9.79,,200212,6.01,,200212,7.29,,200212,4.81,,200212,11.39,,200212,20.07,,200212,0.68,,200212,6.93,,200212,9.47,,200212,9.10,,200212,2.05,,200212,16.86,,200212,28.02,,200212,27.66,,200212,13.49,,200212,31.21,,200212,13.14,,200212,3.80,,200212,5.62,,200212,4.66,,200212,4.89,,200212,2.78,,200212,5.23,,200212,11.73,,200212,12.82,,200212,4.26,,200212,14.84,,200212,4.05,,200212,33.21,,200212,7.98,,200212,5.56,,200212,9.90,,200212,0.05,,200212,17.47,,200212,10.74,,200212,14.55,
39,200301,0.99,,200301,0.30,,200301,3.27,,200301,3.93,,200301,1.46,,200301,5.71,,200301,4.54,,200301,5.05,,200301,1.37,,200301,2.07,,200301,0.24,,200301,1.87,,200301,6.39,,200301,0.01,,200301,1.52,,200301,6.31,,200301,1.27,,200301,0.70,,200301,0.79,,200301,0.71,,200301,3.29,,200301,4.20,,200301,0.13,,200301,2.32,,200301,1.28,,200301,1.00,,200301,0.17,,200301,6.31,,200301,13.20,,200301,7.01,,200301,1.85,,200301,7.74,,200301,2.28,,200301,0.72,,200301,0.56,,200301,0.32,,200301,0.43,,200301,1.80,,200301,0.34,,200301,1.19,,200301,4.05,,200301,0.23,,200301,1.58,,200301,0.02,,200301,9.18,,200301,1.15,,200301,0.07,,200301,2.13,,200301,0.07,,200301,3.44,,200301,1.13,,200301,4.04,
40,200302,1.65,,200302,1.26,,200302,2.84,,200302,2.53,,200302,2.17,,200302,2.84,,200302,2.12,,200302,2.28,,200302,2.45,,200302,1.05,,200302,2.67,,200302,1.50,,200302,3.25,,200302,6.08,,200302,1.42,,200302,2.47,,200302,2.40,,200302,2.39,,200302,1.99,,200302,1.11,,200302,2.21,,200302,2.63,,200302,2.34,,200302,1.72,,200302,1.44,,200302,2.66,,200302,4.23,,200302,2.52,,200302,6.30,,200302,3.94,,200302,2.38,,200302,3.79,,200302,2.84,,200302,1.17,,200302,1.12,,200302,3.64,,200302,2.70,,200302,1.20,,200302,2.71,,200302,2.69,,200302,2.28,,200302,1.48,,200302,2.75,,200302,6.86,,200302,5.55,,200302,2.45,,200302,3.55,,200302,1.59,,200302,1.30,,200302,2.20,,200302,2.02,,200302,2.74,
41,200303,1.49,,200303,0.86,,200303,4.65,,200303,4.69,,200303,2.73,,200303,5.16,,200303,5.19,,200303,6.03,,200303,3.20,,200303,3.00,,200303,1.79,,200303,2.16,,200303,4.79,,200303,3.06,,200303,2.11,,200303,3.62,,200303,2.75,,200303,1.93,,200303,1.51,,200303,1.34,,200303,2.50,,200303,2.43,,200303,1.23,,200303,2.28,,200303,1.65,,200303,2.66,,200303,2.06,,200303,5.02,,200303,12.24,,200303,6.14,,200303,1.71,,200303,8.06,,200303,4.09,,200303,0.99,,200303,1.59,,200303,2.02,,200303,1.97,,200303,2.80,,200303,1.78,,200303,3.26,,200303,2.67,,200303,1.17,,200303,1.79,,200303,3.68,,200303,8.66,,200303,1.60,,200303,2.60,,200303,2.46,,200303,0.41,,200303,3.07,,200303,1.71,,200303,4.09,
42,200304,3.63,,200304,0.97,,200304,9.27,,200304,8.72,,200304,6.67,,200304,9.27,,200304,7.66,,200304,6.95,,200304,8.05,,200304,3.60,,200304,0.65,,200304,2.90,,200304,9.14,,200304,1.68,,200304,3.58,,200304,7.17,,200304,7.42,,200304,4.51,,200304,2.29,,200304,1.79,,200304,3.79,,200304,5.00,,200304,0.81,,200304,3.28,,200304,3.08,,200304,6.92,,200304,1.56,,200304,7.15,,200304,15.21,,200304,12.82,,200304,3.82,,200304,13.02,,200304,9.85,,200304,1.27,,200304,2.43,,200304,3.29,,200304,3.18,,200304,3.16,,200304,1.77,,200304,8.86,,200304,4.09,,200304,1.91,,200304,5.59,,200304,2.04,,200304,14.94,,200304,2.43,,200304,2.15,,200304,3.15,,200304,0.02,,200304,5.17,,200304,4.13,,200304,7.17,
43,200305,0.93,,200305,0.78,,200305,2.02,,200305,1.96,,200305,1.61,,200305,1.83,,200305,1.78,,200305,1.11,,200305,1.39,,200305,1.46,,200305,0.11,,200305,0.85,,200305,2.16,,200305,1.19,,200305,1.09,,200305,1.14,,200305,1.27,,200305,1.85,,200305,1.31,,200305,0.51,,200305,1.37,,200305,1.41,,200305,0.12,,200305,1.00,,200305,0.86,,200305,2.42,,200305,0.74,,200305,1.95,,200305,1.91,,200305,1.11,,200305,1.02,,200305,1.43,,200305,2.13,,200305,0.75,,200305,0.53,,200305,2.10,,200305,1.74,,200305,2.19,,200305,1.25,,200305,2.44,,200305,2.09,,200305,0.69,,200305,1.13,,200305,1.92,,200305,1.74,,200305,1.36,,200305,1.61,,200305,0.99,,200305,0.01,,200305,1.19,,200305,1.20,,200305,2.05,
44,200306,0.00,,200306,0.00,,200306,0.12,,200306,0.16,,200306,0.12,,200306,0.00,,200306,0.10,,200306,0.11,,200306,0.03,,200306,0.16,,200306,0.01,,200306,0.00,,200306,0.01,,200306,0.03,,200306,0.00,,200306,0.01,,200306,0.01,,200306,0.01,,200306,0.00,,200306,0.00,,200306,0.00,,200306,0.00,,200306,0.01,,200306,0.00,,200306,0.00,,200306,0.01,,200306,0.05,,200306,0.01,,200306,0.13,,200306,0.00,,200306,0.00,,200306,0.02,,200306,0.09,,200306,0.00,,200306,0.00,,200306,0.02,,200306,0.01,,200306,0.19,,200306,0.00,,200306,0.04,,200306,0.00,,200306,0.09,,200306,0.02,,200306,0.03,,200306,0.06,,200306,0.01,,200306,0.01,,200306,0.00,,200306,0.00,,200306,0.00,,200306,0.01,,200306,0.00,
45,200307,0.00,,200307,0.02,,200307,0.14,,200307,0.27,,200307,0.95,,200307,0.02,,200307,0.11,,200307,0.46,,200307,0.06,,200307,0.26,,200307,0.14,,200307,0.00,,200307,0.01,,200307,0.08,,200307,0.00,,200307,0.03,,200307,0.03,,200307,0.26,,200307,0.01,,200307,0.00,,200307,0.01,,200307,0.02,,200307,0.19,,200307,0.00,,200307,0.00,,200307,0.26,,200307,0.37,,200307,0.03,,200307,0.01,,200307,0.02,,200307,0.00,,200307,0.12,,200307,0.24,,200307,0.00,,200307,0.00,,200307,0.52,,200307,0.41,,200307,0.34,,200307,0.08,,200307,0.47,,200307,0.04,,200307,1.00,,200307,0.00,,200307,0.04,,200307,0.01,,200307,0.04,,200307,0.07,,200307,0.01,,200307,0.11,,200307,0.00,,200307,0.00,,200307,0.00,
46,200308,0.10,,200308,0.06,,200308,0.89,,200308,1.43,,200308,0.96,,200308,0.41,,200308,1.27,,200308,0.77,,200308,0.39,,200308,1.12,,200308,0.79,,200308,0.25,,200308,0.62,,200308,0.05,,200308,0.21,,200308,0.07,,200308,0.42,,200308,0.35,,200308,0.10,,200308,0.13,,200308,0.31,,200308,0.14,,200308,0.82,,200308,0.28,,200308,0.11,,200308,0.46,,200308,0.67,,200308,0.71,,200308,0.29,,200308,0.33,,200308,0.05,,200308,1.27,,200308,0.75,,200308,0.09,,200308,0.13,,200308,0.78,,200308,0.34,,200308,0.70,,200308,0.02,,200308,0.71,,200308,0.52,,200308,0.70,,200308,0.02,,200308,0.02,,200308,0.54,,200308,0.08,,200308,0.00,,200308,0.22,,200308,0.66,,200308,0.41,,200308,0.22,,200308,0.61,
47,200309,0.01,,200309,0.01,,200309,0.17,,200309,0.11,,200309,0.35,,200309,0.11,,200309,0.10,,200309,0.41,,200309,0.07,,200309,0.22,,200309,0.17,,200309,0.01,,200309,0.01,,200309,0.03,,200309,0.01,,200309,0.06,,200309,0.04,,200309,0.07,,200309,0.00,,200309,0.01,,200309,0.02,,200309,0.03,,200309,0.19,,200309,0.00,,200309,0.01,,200309,0.10,,200309,0.13,,200309,0.09,,200309,0.70,,200309,0.26,,200309,0.01,,200309,0.44,,200309,0.28,,200309,0.01,,200309,0.00,,200309,0.28,,200309,0.09,,200309,0.52,,200309,0.00,,200309,0.22,,200309,0.08,,200309,0.37,,200309,0.04,,200309,0.02,,200309,0.52,,200309,0.00,,200309,0.00,,200309,0.01,,200309,0.10,,200309,0.02,,200309,0.02,,200309,0.01,
48,200310,0.04,,200310,0.04,,200310,0.51,,200310,0.45,,200310,0.37,,200310,0.07,,200310,0.12,,200310,0.12,,200310,0.10,,200310,0.03,,200310,0.00,,200310,0.02,,200310,0.18,,200310,0.18,,200310,0.10,,200310,0.04,,200310,0.06,,200310,0.04,,200310,0.11,,200310,0.07,,200310,0.12,,200310,0.06,,200310,0.01,,200310,0.04,,200310,0.02,,200310,0.03,,200310,0.01,,200310,0.07,,200310,0.94,,200310,0.06,,200310,0.04,,200310,0.06,,200310,0.32,,200310,0.07,,200310,0.02,,200310,0.02,,200310,0.09,,200310,0.04,,200310,0.13,,200310,0.12,,200310,0.17,,200310,0.08,,200310,0.10,,200310,0.18,,200310,0.33,,200310,0.19,,200310,0.23,,200310,0.03,,200310,0.00,,200310,0.04,,200310,0.15,,200310,0.29,
49,200311,2.04,,200311,0.38,,200311,3.36,,200311,2.93,,200311,2.94,,200311,6.27,,200311,2.88,,200311,4.47,,200311,3.19,,200311,1.90,,200311,1.18,,200311,1.71,,200311,4.78,,200311,0.89,,200311,1.81,,200311,4.15,,200311,2.99,,200311,1.44,,200311,0.77,,200311,1.03,,200311,2.93,,200311,2.81,,200311,1.01,,200311,2.13,,200311,1.72,,200311,2.39,,200311,0.88,,200311,4.97,,200311,9.16,,200311,6.87,,200311,2.05,,200311,8.36,,200311,3.48,,200311,0.78,,200311,1.61,,200311,1.61,,200311,1.43,,200311,2.39,,200311,1.38,,200311,3.52,,200311,3.86,,200311,1.34,,200311,2.65,,200311,1.44,,200311,7.83,,200311,1.00,,200311,1.48,,200311,1.93,,200311,0.22,,200311,3.19,,200311,2.37,,200311,3.88,
50,200312,5.55,,200312,1.70,,200312,12.60,,200312,13.02,,200312,10.10,,200312,20.13,,200312,11.53,,200312,8.92,,200312,10.33,,200312,4.88,,200312,0.46,,200312,6.33,,200312,13.50,,200312,1.57,,200312,4.67,,200312,16.88,,200312,10.31,,200312,5.89,,200312,4.79,,200312,3.83,,200312,10.32,,200312,12.53,,200312,0.72,,200312,5.24,,200312,5.84,,200312,8.46,,200312,1.11,,200312,12.07,,200312,23.13,,200312,18.35,,200312,8.34,,200312,16.32,,200312,11.94,,200312,3.31,,200312,3.83,,200312,4.97,,200312,4.07,,200312,4.25,,200312,3.03,,200312,11.52,,200312,11.39,,200312,3.26,,200312,9.31,,200312,2.17,,200312,18.49,,200312,6.10,,200312,2.17,,200312,6.57,,200312,0.04,,200312,11.72,,200312,7.40,,200312,10.72,
51,200401,2.48,,200401,0.76,,200401,4.32,,200401,4.50,,200401,3.06,,200401,5.56,,200401,4.01,,200401,4.99,,200401,3.75,,200401,1.63,,200401,0.24,,200401,2.74,,200401,5.63,,200401,0.38,,200401,2.26,,200401,5.49,,200401,3.44,,200401,1.90,,200401,1.77,,200401,1.35,,200401,3.30,,200401,4.62,,200401,0.12,,200401,2.63,,200401,2.69,,200401,2.54,,200401,0.48,,200401,4.20,,200401,12.37,,200401,6.94,,200401,3.55,,200401,8.75,,200401,4.13,,200401,1.12,,200401,1.90,,200401,1.91,,200401,1.66,,200401,1.79,,200401,0.98,,200401,3.38,,200401,3.55,,200401,0.97,,200401,3.84,,200401,0.76,,200401,10.24,,200401,1.63,,200401,0.63,,200401,2.51,,200401,0.13,,200401,3.83,,200401,2.74,,200401,4.65,
52,200402,4.77,,200402,2.24,,200402,9.98,,200402,10.05,,200402,7.48,,200402,14.48,,200402,10.93,,200402,8.67,,200402,7.67,,200402,4.24,,200402,2.47,,200402,6.09,,200402,11.63,,200402,5.19,,200402,5.18,,200402,12.37,,200402,7.25,,200402,4.78,,200402,5.54,,200402,3.60,,200402,7.79,,200402,9.22,,200402,2.33,,200402,5.68,,200402,5.04,,200402,7.03,,200402,3.73,,200402,10.71,,200402,14.35,,200402,14.34,,200402,6.35,,200402,16.36,,200402,9.38,,200402,3.18,,200402,3.67,,200402,5.37,,200402,4.42,,200402,3.27,,200402,4.89,,200402,8.64,,200402,8.46,,200402,3.04,,200402,7.18,,200402,6.89,,200402,14.71,,200402,6.31,,200402,5.92,,200402,6.70,,200402,1.26,,200402,9.34,,200402,5.91,,200402,9.52,
53,200403,0.64,,200403,0.36,,200403,1.71,,200403,1.76,,200403,1.36,,200403,2.29,,200403,1.39,,200403,2.25,,200403,1.41,,200403,0.64,,200403,0.53,,200403,0.82,,200403,1.98,,200403,0.78,,200403,0.67,,200403,1.81,,200403,1.26,,200403,1.16,,200403,0.48,,200403,0.46,,200403,1.30,,200403,1.28,,200403,0.55,,200403,1.06,,200403,0.69,,200403,1.68,,200403,0.47,,200403,1.97,,200403,5.13,,200403,2.50,,200403,1.00,,200403,3.15,,200403,1.69,,200403,0.50,,200403,0.61,,200403,1.04,,200403,1.01,,200403,0.77,,200403,0.52,,200403,1.67,,200403,1.74,,200403,0.56,,200403,1.07,,200403,0.73,,200403,3.53,,200403,0.54,,200403,0.43,,200403,0.83,,200403,0.35,,200403,1.37,,200403,0.79,,200403,1.81,
54,200404,0.19,,200404,0.03,,200404,0.99,,200404,1.13,,200404,0.57,,200404,1.20,,200404,0.79,,200404,1.78,,200404,0.41,,200404,0.60,,200404,0.62,,200404,0.18,,200404,0.83,,200404,0.32,,200404,0.20,,200404,1.24,,200404,0.30,,200404,0.37,,200404,0.05,,200404,0.09,,200404,0.28,,200404,0.70,,200404,0.57,,200404,0.21,,200404,0.18,,200404,0.36,,200404,0.76,,200404,0.94,,200404,6.10,,200404,1.67,,200404,0.26,,200404,2.38,,200404,0.79,,200404,0.04,,200404,0.21,,200404,0.36,,200404,0.43,,200404,1.09,,200404,0.03,,200404,0.51,,200404,0.38,,200404,0.39,,200404,0.33,,200404,0.17,,200404,2.61,,200404,0.04,,200404,0.01,,200404,0.23,,200404,0.36,,200404,0.41,,200404,0.35,,200404,0.74,
55,200405,0.10,,200405,0.00,,200405,0.94,,200405,1.18,,200405,0.90,,200405,0.18,,200405,1.30,,200405,1.96,,200405,0.44,,200405,1.59,,200405,0.00,,200405,0.06,,200405,0.71,,200405,0.04,,200405,0.10,,200405,0.08,,200405,0.42,,200405,0.41,,200405,0.03,,200405,0.15,,200405,0.10,,200405,0.09,,200405,0.00,,200405,0.07,,200405,0.07,,200405,0.64,,200405,0.00,,200405,1.08,,200405,1.65,,200405,0.26,,200405,0.10,,200405,1.05,,200405,0.71,,200405,0.15,,200405,0.15,,200405,0.03,,200405,0.22,,200405,2.08,,200405,0.00,,200405,0.90,,200405,0.22,,200405,0.52,,200405,0.10,,200405,0.00,,200405,1.31,,200405,0.01,,200405,0.00,,200405,0.09,,200405,0.00,,200405,0.06,,200405,0.12,,200405,0.41,
56,200406,0.00,,200406,0.00,,200406,0.14,,200406,0.31,,200406,0.14,,200406,0.03,,200406,0.38,,200406,0.31,,200406,0.03,,200406,0.39,,200406,0.00,,200406,0.00,,200406,0.05,,200406,0.00,,200406,0.00,,200406,0.01,,200406,0.02,,200406,0.05,,200406,0.00,,200406,0.00,,200406,0.03,,200406,0.00,,200406,0.00,,200406,0.00,,200406,0.00,,200406,0.07,,200406,0.02,,200406,0.09,,200406,0.29,,200406,0.04,,200406,0.00,,200406,0.29,,200406,0.09,,200406,0.00,,200406,0.00,,200406,0.00,,200406,0.04,,200406,0.37,,200406,0.00,,200406,0.14,,200406,0.01,,200406,0.24,,200406,0.02,,200406,0.00,,200406,0.09,,200406,0.02,,200406,0.00,,200406,0.00,,200406,0.00,,200406,0.03,,200406,0.00,,200406,0.02,
57,200407,0.00,,200407,0.00,,200407,0.02,,200407,0.06,,200407,0.06,,200407,0.00,,200407,0.13,,200407,0.25,,200407,0.01,,200407,0.17,,200407,0.04,,200407,0.00,,200407,0.00,,200407,0.00,,200407,0.00,,200407,0.01,,200407,0.00,,200407,0.08,,200407,0.00,,200407,0.00,,200407,0.00,,200407,0.01,,200407,0.09,,200407,0.00,,200407,0.00,,200407,0.04,,200407,0.03,,200407,0.02,,200407,0.10,,200407,0.01,,200407,0.00,,200407,0.03,,200407,0.01,,200407,0.00,,200407,0.00,,200407,0.04,,200407,0.06,,200407,0.14,,200407,0.00,,200407,0.09,,200407,0.00,,200407,0.30,,200407,0.03,,200407,0.00,,200407,0.04,,200407,0.01,,200407,0.00,,200407,0.00,,200407,0.06,,200407,0.00,,200407,0.00,,200407,0.00,
58,200408,0.01,,200408,0.00,,200408,0.05,,200408,0.09,,200408,0.31,,200408,0.00,,200408,0.06,,200408,0.35,,200408,0.02,,200408,0.21,,200408,0.18,,200408,0.00,,200408,0.01,,200408,0.01,,200408,0.00,,200408,0.00,,200408,0.01,,200408,0.11,,200408,0.00,,200408,0.00,,200408,0.00,,200408,0.02,,200408,0.53,,200408,0.00,,200408,0.00,,200408,0.03,,200408,0.06,,200408,0.00,,200408,1.19,,200408,0.01,,200408,0.04,,200408,0.08,,200408,0.05,,200408,0.00,,200408,0.00,,200408,0.08,,200408,0.11,,200408,0.53,,200408,0.00,,200408,0.14,,200408,0.00,,200408,0.55,,200408,0.07,,200408,0.00,,200408,0.33,,200408,0.00,,200408,0.00,,200408,0.00,,200408,0.13,,200408,0.00,,200408,0.01,,200408,0.00,
59,200409,0.29,,200409,0.01,,200409,0.29,,200409,0.34,,200409,0.20,,200409,0.06,,200409,0.35,,200409,0.21,,200409,0.42,,200409,0.19,,200409,0.17,,200409,0.16,,200409,0.18,,200409,0.01,,200409,0.27,,200409,0.09,,200409,0.27,,200409,0.12,,200409,0.03,,200409,0.16,,200409,0.07,,200409,0.23,,200409,0.13,,200409,0.05,,200409,0.19,,200409,0.15,,200409,0.12,,200409,0.26,,200409,0.97,,200409,0.20,,200409,0.11,,200409,0.10,,200409,0.37,,200409,0.12,,200409,0.29,,200409,0.02,,200409,0.05,,200409,0.27,,200409,0.00,,200409,0.24,,200409,0.03,,200409,0.10,,200409,0.10,,200409,0.01,,200409,0.44,,200409,0.02,,200409,0.00,,200409,0.10,,200409,0.08,,200409,0.08,,200409,0.16,,200409,0.23,
